rank,selection_tag,selection_reason,master_ccl_id,master_cpd_id,y,y_pred,model_res,neighbor_mean_y,knn_res,z_model,z_knn,combined_score,per_drug_r2,log10_ic50_std,ModelID,cpd_name,gene_symbol_of_protein_target,target_or_activity_of_compound,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
11,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.180, RF OOF predicted +1.061 (Δ_model=-4.241), 20-NN mean=+1.319 (Δ_knn=-4.499). Drug target: AURKA;AURKB. Cell lineage: Ovary/Fallopian Tube / Ovarian Epithelial Tumor. Per-drug R² on held-out cells = 0.33.",126,636711,-3.1799179693045954,1.0607591168809625,-4.240677086185558,1.3189025870052389,-4.498820556309834,4.979225987567805,4.767978219600173,9.747204207167979,0.3285069311425618,0.0,ACH-000713,alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer
12,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.071, RF OOF predicted +1.062 (Δ_model=-4.133), 20-NN mean=+1.036 (Δ_knn=-4.107). Drug target: ALK;MET. Cell lineage: Pancreas / Pancreatic Adenocarcinoma. Per-drug R² on held-out cells = 0.25.",129,628603,-3.0707754432915797,1.0619458944721305,-4.13272133776371,1.0363314139838729,-4.107106857275452,4.823637522211607,4.2568492476870325,9.08048676989864,0.2540802058600515,0.0,ACH-000107,crizotinib,ALK;MET,inhibitor of c-MET and ALK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
13,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.471, RF OOF predicted +0.730 (Δ_model=-4.201), 20-NN mean=+0.518 (Δ_knn=-3.989). Drug target: CA9. Cell lineage: Lung / Lung Neuroendocrine Tumor. Per-drug R² on held-out cells = 0.33.",155487,411874,-3.4709701472858043,0.7302513895307424,-4.201221536816547,0.5184464606605212,-3.9894166079463256,4.922361684685831,4.103280719723659,9.02564240440949,0.3312030765521056,0.0,ACH-000394,indisulam,CA9,inhibitor of carbonic anhydrase isoform IX,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer
14,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=+3.823, RF OOF predicted -1.263 (Δ_model=+5.086), 20-NN mean=+0.879 (Δ_knn=+2.944). Drug target: HDAC1;HDAC2;HDAC3;HDAC6;HDAC8. Cell lineage: Esophagus/Stomach / Esophagogastric Adenocarcinoma. Per-drug R² on held-out cells = 0.27.",683,54210,3.823080944932561,-1.2633159892434096,5.086396934175971,0.879231865429148,2.943849079503413,6.19809811984118,2.738968322183837,8.937066442025017,0.2690576570261602,0.0,ACH-000356,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma
15,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.180, RF OOF predicted +1.049 (Δ_model=-4.229), 20-NN mean=+0.673 (Δ_knn=-3.853). Drug target: TOP1. Cell lineage: Liver / Hepatocellular Carcinoma. Per-drug R² on held-out cells = 0.40.",1128,44580,-3.1800345986891565,1.0485622617267951,-4.228596860415951,0.6732103825561725,-3.853244981245329,4.96181567069144,3.9255967027209473,8.887412373412387,0.4014387471997103,0.0,ACH-000316,topotecan,TOP1,inhibitor of topoisomerase I,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
16,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=+2.642, RF OOF predicted -1.297 (Δ_model=+3.940), 20-NN mean=-1.506 (Δ_knn=+4.148). Drug target: TOP1. Cell lineage: Pleura / Pleural Mesothelioma. Per-drug R² on held-out cells = 0.33.",480,375637,2.642140271942763,-1.2974309731997224,3.9395712451424854,-1.50581118685204,4.147951458794803,4.545264884036628,4.310145466926368,8.855410350962996,0.3277538206621638,0.0,ACH-000569,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type"
17,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-2.641, RF OOF predicted +1.062 (Δ_model=-3.703), 20-NN mean=+1.643 (Δ_knn=-4.284). Drug target: BRAF. Cell lineage: Head and Neck / Head and Neck Squamous Cell Carcinoma. Per-drug R² on held-out cells = 0.53.",1009,687954,-2.640699051762107,1.0621267411224191,-3.7028257928845263,1.6431771847222507,-4.283876236484358,4.204061547156974,4.487507382144672,8.691568929301646,0.5336411550680393,0.0,ACH-000238,dabrafenib,BRAF,inhibitor of BRAF,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma
18,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.500, RF OOF predicted -0.283 (Δ_model=-3.217), 20-NN mean=+1.312 (Δ_knn=-4.812). Drug target: CHEK1;CHEK2. Cell lineage: Uterus / Endometrial Carcinoma. Per-drug R² on held-out cells = 0.21.",672,660777,-3.499889506044168,-0.2827263378813613,-3.2171631681628066,1.3118946320329383,-4.8117841380771065,3.5041126925017894,5.176349829245921,8.68046252174771,0.205292648700912,0.0,ACH-000988,AZD7762,CHEK1;CHEK2,inhibitor of checkpoint kinases 1 and 2,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma
19,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.065, RF OOF predicted +1.018 (Δ_model=-4.083), 20-NN mean=+0.789 (Δ_knn=-3.854). Drug target: KDR;KIT;PDGFRA. Cell lineage: Bone / Ewing Sarcoma. Per-drug R² on held-out cells = 0.20.",37,375560,-3.065210244594754,1.0175665657987958,-4.0827768103935504,0.7886903151662052,-3.8539005597609597,4.75165624766105,3.9264521366093423,8.678108384270393,0.2024320622108091,0.0,ACH-000052,Ki8751,KDR;KIT;PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA",Bone,Ewing Sarcoma,Ewing Sarcoma
20,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.805, RF OOF predicted -0.509 (Δ_model=-3.296), 20-NN mean=+0.606 (Δ_knn=-4.411). Drug target: PLK1. Cell lineage: Ovary/Fallopian Tube / Ovarian Epithelial Tumor. Per-drug R² on held-out cells = 0.27.",909,347813,-3.804769879540078,-0.5085042238332647,-3.2962656557068133,0.6061202642246544,-4.410890143764732,3.6181171324945285,4.653241917359869,8.271359049854398,0.2724305966653217,0.0,ACH-001151,BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1),Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer
21,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.335, RF OOF predicted +0.376 (Δ_model=-3.710), 20-NN mean=+0.578 (Δ_knn=-3.913). Drug target: TOP2A. Cell lineage: Thyroid / Anaplastic Thyroid Cancer. Per-drug R² on held-out cells = 0.31.",119,48589,-3.334947385168918,0.3755209575836952,-3.7104683427526135,0.5776768820787963,-3.9126242672477147,4.2150761769730485,4.003077968967578,8.218154145940627,0.3081208629180546,0.0,ACH-000174,etoposide,TOP2A,inhibitor of topoisomerase II,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer
22,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-2.814, RF OOF predicted +0.720 (Δ_model=-3.534), 20-NN mean=+1.274 (Δ_knn=-4.088). Drug target: BRAF. Cell lineage: Myeloid / Acute Myeloid Leukemia. Per-drug R² on held-out cells = 0.25.",1039,606248,-2.8138291508357574,0.7202896262932191,-3.5341187771289766,1.273795187080933,-4.08762433791669,3.960916869268587,4.23142741507135,8.192344284339937,0.2514707021908732,0.0,ACH-000373,GDC-0879,BRAF,inhibitor of BRAF,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia
23,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.762, RF OOF predicted -0.069 (Δ_model=-3.693), 20-NN mean=+0.044 (Δ_knn=-3.806). Drug target: TOP2A;TOP2B. Cell lineage: Liver / Hepatocellular Carcinoma. Per-drug R² on held-out cells = 0.38.",1127,27871,-3.7617615660677353,-0.0689487442699433,-3.692812821797792,0.0439302989932907,-3.805691865061026,4.189630608297162,3.863546854971263,8.053177463268426,0.3841077422031117,0.0,ACH-000686,teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
24,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-2.934, RF OOF predicted +0.987 (Δ_model=-3.922), 20-NN mean=+0.368 (Δ_knn=-3.303). Drug target: MAP2K1;MAP2K2. Cell lineage: Peripheral Nervous System / Neuroblastoma. Per-drug R² on held-out cells = 0.22.",144,660410,-2.9343068917547748,0.98729493383179,-3.921601825586565,0.3683332672129777,-3.3026401589677525,4.519366917018491,3.207138100341423,7.726505017359914,0.2192051205746572,0.0,ACH-000120,PD318088,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma
25,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=+3.423, RF OOF predicted -0.663 (Δ_model=+4.085), 20-NN mean=+0.356 (Δ_knn=+3.067). Drug target: GPX4. Cell lineage: Bowel / Colorectal Adenocarcinoma. Per-drug R² on held-out cells = 0.27.",626,609060,3.422711050699466,-0.6625098912706576,4.085220941970124,0.3556360610019823,3.067074989697484,4.755178789875678,2.899760076329326,7.654938866205004,0.2660468281188572,0.0,ACH-000252,"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
26,normal_combined,"LLM-explainable normal: observed log10(IC50)=-0.026, RF OOF predicted -0.020 (Δ_model=-0.006), 20-NN mean=-0.038 (Δ_knn=+0.012). Drug target: TOP2A;TOP2B. Cell lineage: Bladder/Urinary Tract / Bladder Urothelial Carcinoma. Per-drug R² on held-out cells = 0.38.",115,27871,-0.025840926435875287,-0.0198172497757059,-0.0060236766601693865,-0.0377027243861884,0.011861797950313113,-1.1238600910805943,-1.0868453998711138,-2.210705490951708,0.3841077422031117,0.0,ACH-000142,teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma
27,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.389, RF OOF predicted +0.383 (Δ_model=+0.007), 20-NN mean=+0.401 (Δ_knn=-0.012). Drug target: XPO1. Cell lineage: Skin / Melanoma. Per-drug R² on held-out cells = 0.25.",1025,660935,0.38902123826314744,0.3825141061893739,0.006507132073773514,0.4006104378590214,-0.011589199595873956,-1.1231633233125928,-1.087201100774588,-2.2103644240871807,0.2549993629037289,0.0,ACH-000441,KPT185,XPO1,inhibitor of exportin 1,Skin,Melanoma,Melanoma
28,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.715, RF OOF predicted +0.718 (Δ_model=-0.003), 20-NN mean=+0.731 (Δ_knn=-0.016). Drug target: TP53. Cell lineage: Lymphoid / Mature B-Cell Neoplasms. Per-drug R² on held-out cells = 0.32.",1140,50131,0.715078166786749,0.7181497485760572,-0.00307158178930822,0.7312709115025536,-0.016192744715804674,-1.1281147224203576,-1.0811941490389037,-2.2093088714592612,0.3234275614651822,0.0,ACH-000271,PRIMA-1,TP53,re-activator of the pro-apoptotic activity of mutant p53,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
29,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.063, RF OOF predicted +1.067 (Δ_model=-0.004), 20-NN mean=+1.044 (Δ_knn=+0.019). Drug target: TP53. Cell lineage: Kidney / Rhabdoid Cancer. Per-drug R² on held-out cells = 0.32.",26,50131,1.0626778678077649,1.0666986727084151,-0.0040208049006502655,1.0435976755266283,0.019080192281136554,-1.1267466788531244,-1.0774264531192579,-2.2041731319723823,0.3234275614651822,0.0,ACH-000201,PRIMA-1,TP53,re-activator of the pro-apoptotic activity of mutant p53,Kidney,Rhabdoid Cancer,Rhabdoid Cancer
30,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.757, RF OOF predicted +0.751 (Δ_model=+0.007), 20-NN mean=+0.738 (Δ_knn=+0.019). Drug target: XPO1. Cell lineage: Lymphoid / Mature B-Cell Neoplasms. Per-drug R² on held-out cells = 0.28.",511,411805,0.7573260585664252,0.750725731709724,0.0066003268567012,0.7384293859028486,0.01889667266357664,-1.1230290087117782,-1.0776659193255216,-2.2006949280373,0.2831600965471476,0.0,ACH-000346,Compound 7d-cis,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport,Lymphoid,Mature B-Cell Neoplasms,B-Cell Prolymphocytic Leukemia
31,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.658, RF OOF predicted +0.675 (Δ_model=-0.017), 20-NN mean=+0.650 (Δ_knn=+0.008). Drug target: JAK2. Cell lineage: Esophagus/Stomach / Esophagogastric Adenocarcinoma. Per-drug R² on held-out cells = 0.25.",259,660434,0.6578222248400828,0.67474949393911,-0.016927269099027198,0.6502807107992764,0.007541514040806385,-1.1081455669424058,-1.092482737238897,-2.200628304181303,0.2469054415003102,0.0,ACH-000633,NVP-BSK805,JAK2,inhibitor of Janus kinase 2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma
32,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.742, RF OOF predicted +0.736 (Δ_model=+0.006), 20-NN mean=+0.717 (Δ_knn=+0.024). Drug target: AURKA;FLT3. Cell lineage: Myeloid / Acute Myeloid Leukemia. Per-drug R² on held-out cells = 0.31.",253,660413,0.7417605390914517,0.7360856017470077,0.00567493734444402,0.7172756939718927,0.02448484511955895,-1.124362702713011,-1.070374173212632,-2.194736875925643,0.3149194715571902,0.0,ACH-000487,KW-2449,AURKA;FLT3,inhibitor of FLT3 and AURKA,Myeloid,Acute Myeloid Leukemia,"AML, NOS"
33,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.058, RF OOF predicted +1.058 (Δ_model=-0.000), 20-NN mean=+1.089 (Δ_knn=-0.031). Drug target: MDM2. Cell lineage: Lung / Non-Small Cell Lung Cancer. Per-drug R² on held-out cells = 0.25.",127991,411722,1.0579660209545823,1.058081030218478,-0.00011500926389573785,1.089119342237534,-0.031153321282951785,-1.132375807065389,-1.0616727890792088,-2.194048596144598,0.2529717175069841,0.0,ACH-000900,nutlin-3,MDM2,inhibitor of p53-MDM2 interaction,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
34,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.055, RF OOF predicted +1.068 (Δ_model=-0.013), 20-NN mean=+1.072 (Δ_knn=-0.017). Drug target: HDAC1;HDAC2;HDAC3;HDAC6;HDAC8. Cell lineage: Pancreas / Pancreatic Adenocarcinoma. Per-drug R² on held-out cells = 0.29.",1277,56554,1.0549772353703968,1.0684188119261375,-0.013441576555740742,1.0717806795502642,-0.016803444179867455,-1.113169232300125,-1.0803972757358158,-2.193566508035941,0.2918032225789822,0.0,ACH-000332,vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
35,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.083, RF OOF predicted +1.064 (Δ_model=+0.019), 20-NN mean=+1.071 (Δ_knn=+0.012). Drug target: BRDT. Cell lineage: Skin / Melanoma. Per-drug R² on held-out cells = 0.25.",1042,616354,1.0831059243990042,1.0639067278253136,0.019199196573690624,1.07090649741706,0.012199426981944317,-1.1048712094917752,-1.0864048434640976,-2.191276052955873,0.2458122676940174,0.0,ACH-000822,JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,Skin,Melanoma,Melanoma
36,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.074, RF OOF predicted +1.052 (Δ_model=+0.022), 20-NN mean=+1.084 (Δ_knn=-0.010). Drug target: BRAF. Cell lineage: Bowel / Colorectal Adenocarcinoma. Per-drug R² on held-out cells = 0.25.",1115,606248,1.0740618683947531,1.0523382817000388,0.021723586694714303,1.0844172156352363,-0.010355347240483148,-1.101232996699663,-1.0888110972783054,-2.1900440939779684,0.2514707021908732,0.0,ACH-000532,GDC-0879,BRAF,inhibitor of BRAF,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma
37,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.046, RF OOF predicted +1.063 (Δ_model=-0.018), 20-NN mean=+1.028 (Δ_knn=+0.018). Drug target: JAK2. Cell lineage: Bladder/Urinary Tract / Bladder Urothelial Carcinoma. Per-drug R² on held-out cells = 0.25.",9,660434,1.0457894333492774,1.0634070635282102,-0.017617630178932808,1.0280597880336804,0.017729645315597065,-1.107150601666963,-1.0791887189877183,-2.1863393206546813,0.2469054415003102,0.0,ACH-000026,NVP-BSK805,JAK2,inhibitor of Janus kinase 2,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma
38,normal_combined,"LLM-explainable normal: observed log10(IC50)=-1.025, RF OOF predicted -1.012 (Δ_model=-0.014), 20-NN mean=-1.048 (Δ_knn=+0.022). Drug target: TOP1. Cell lineage: Breast / Breast Ductal Carcinoma In Situ. Per-drug R² on held-out cells = 0.33.",305,375637,-1.02530816523152,-1.0117840395781363,-0.013524125653383567,-1.0477507831903756,0.022442617958855715,-1.1130502605213495,-1.0730389803706062,-2.1860892408919557,0.3277538206621638,0.0,ACH-000349,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ
39,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.029, RF OOF predicted +0.008 (Δ_model=+0.021), 20-NN mean=+0.013 (Δ_knn=+0.016). Drug target: HDAC1;HDAC2;HDAC3;HDAC6;HDAC8. Cell lineage: Bowel / Colorectal Adenocarcinoma. Per-drug R² on held-out cells = 0.37.",1176,61097,0.028642949198511305,0.0080101121940498,0.020632837004461505,0.0129995572238526,0.015643391974658707,-1.1028050118343369,-1.081910973858898,-2.1847159856932348,0.3700364041778725,0.0,ACH-000381,apicidin,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
40,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.064, RF OOF predicted +1.067 (Δ_model=-0.003), 20-NN mean=+1.024 (Δ_knn=+0.039). Drug target: CA9. Cell lineage: Pancreas / Pancreatic Adenocarcinoma. Per-drug R² on held-out cells = 0.33.",201,411874,1.0635389746808455,1.0666986727084151,-0.0031596980275696573,1.024059533762367,0.03947944091847844,-1.1279877271423433,-1.0508084231409651,-2.1787961502833086,0.3312030765521056,0.0,ACH-000243,indisulam,CA9,inhibitor of carbonic anhydrase isoform IX,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
41,normal_combined,"LLM-explainable normal: observed log10(IC50)=+1.081, RF OOF predicted +1.047 (Δ_model=+0.033), 20-NN mean=+1.090 (Δ_knn=-0.010). Drug target: MAP2K1;MAP2K2. Cell lineage: Lung / Non-Small Cell Lung Cancer. Per-drug R² on held-out cells = 0.22.",155476,348991,1.0805010860517812,1.0470338746710082,0.03346721138077302,1.0901702006575045,-0.009669114605723284,-1.0843077975385846,-1.0897065302998277,-2.174014327838412,0.220325680836209,0.0,ACH-000886,selumetinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
42,normal_combined,"LLM-explainable normal: observed log10(IC50)=+0.021, RF OOF predicted -0.020 (Δ_model=+0.041), 20-NN mean=+0.023 (Δ_knn=-0.001). Drug target: TOP2A;TOP2B. Cell lineage: Ovary/Fallopian Tube / Ovarian Epithelial Tumor. Per-drug R² on held-out cells = 0.38.",261,27871,0.02109777343494898,-0.0198172497757059,0.04091502321065488,0.0225563353942207,-0.0014585619592717217,-1.0735738289467043,-1.1004200982535775,-2.1739939272002817,0.3841077422031117,0.0,ACH-000574,teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer
43,normal_combined,"LLM-explainable normal: observed log10(IC50)=-0.073, RF OOF predicted -0.038 (Δ_model=-0.035), 20-NN mean=-0.082 (Δ_knn=+0.009). Drug target: TOP2A. Cell lineage: Myeloid / Acute Myeloid Leukemia. Per-drug R² on held-out cells = 0.31.",693,48589,-0.07271249214945989,-0.0379108963551336,-0.03480159579432629,-0.0820162037477389,0.009303711598279002,-1.0823846500810848,-1.0901833276750263,-2.172567977756111,0.3081208629180546,0.0,ACH-000369,etoposide,TOP2A,inhibitor of topoisomerase II,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia
